location_id,address,case_id
LOC001,"1939 Christine Manor, Sarahborough, TN 94373",C009
LOC002,"2475 Albert Road Apt. 183, Davidstad, FM 09517",C010
LOC003,"2784 Elizabeth Plaza Suite 124, North Juliaberg, KY 37431",C007
LOC004,"48740 Cynthia Village Suite 005, Lake Tina, GA 97655",C004
LOC005,"011 Amy Village Suite 982, Andersonport, MN 05730",C009
LOC006,"PSC 3315, Box 8692, APO AE 21800",C004
LOC007,"Unit 2602 Box 5634, DPO AE 92418",C005
LOC008,"3375 Hoover Well, East Andrew, ID 52728",C007
LOC009,"5868 Crosby Crescent, Gregoryview, AZ 14709",C006
LOC010,"569 Paul Ports Apt. 406, New Saraside, TX 94798",C008
LOC011,"USNS Diaz, FPO AE 87563",C009
LOC012,"PSC 9514, Box 8465, APO AA 91885",C008
LOC013,"66299 Sullivan Village, West Justinchester, WY 76520",C002
LOC014,"7738 Leon Underpass Apt. 148, Clarencebury, TX 41188",C004
LOC015,"00379 Stanley Roads, Lake Heather, NM 52884",C004
